celapattikaṃ	celapaṭikaṃ
savibhattesu	saṃvibhattesu
oramattha	oramiya
dūrasaddā	durāsadā
kumāraṇḍupi	kuṇḍañhi
aṭṭāvalepanā	addāvalepanā
atthapāgato	papāgato
bahalatthena	balamattena
bhakuṭīṃ	bhākuṭiṃ
carasāti	carasīti
celaṇḍupekena	celaṇḍukena
dheḷhakajātā	dvedhikajātā
gadhīto	gathito
kaṇṭakaṭṭhikaṃ	kaṭiṭṭhikaṃ
kaṇṭakavattampi	kaṇṭakāvāṭampi
khurakāye	khurakāse
pabhivattāni	paṭibhastāni
paccāsiṃ	paccāsīsamānarūpo
paladdho	paluddho
pāṇamatimāpayato	pāṇamatipātayato
pāṇamatipāpayato	pāṇamatipātayato
paṇḍumuṭīkassa	paṇḍupuṭakassa
paricce	pariye
paṭisandharati	paṭisantharati
paṭisandhāre	paṭisanthāre
rattimuṭṭhānadessinā	rattinuṭṭhānadassinā
ravatthe	davatte
rūpāramaṇaṃ	rūpārammaṇaṃ
saṃghāṭīkatte	saṅghāṭikattameva
samūpabbūḷho	samupabyūḷho
sannadvārā	sadvārā
sāravano	sārūpamo
sasaṅkhāraniggayhavārivāvato	sasaṅkhāraniggayhavāritagato
sosindo	sosinno
sosino	sosinno
ūhanīti	ūhaññīti
vākhittaṃ	vājitaṃ
vekurañjāya	kuṇḍañhi
viyavajjena	peyyavajjena
sāviyogā	sāciyogā
baliyañca	vaṇṇiyañca
sagataṃ	svāgataṃ
valiyañca	vaṇṇiyañca
adhipakkantā	avipakkantā
aṃnvabhi	anvabhi
amūḷhapañhassa	amūḷhapaññassa
annatthitassa	annaṭṭhikassa
asādiyimhase	āsādimhase
atipāpeti	atipāteti
āyuvaṇṇādipariyānikathā	āyuvaṇṇādiparihānikathā
bhedaṇḍakaṃyeva	bheraṇḍakaṃyeva
bhiṅge	bheke
celāvikāpi	velāsikāpi
chādhikā	sādhikā
corakāni	dhorakāni
ekatiṃ	ekatiṃse kappe
guḷagāḷakāni	guḷavālakāni
hāsupañño	hāsapañño
iddhivisevitāya	iddhivisavitāya
jijigiṃsanako	nijigīsanako
kaṇḍakaṭṭhikaṃ	khandhaṭṭhikaṃ
keḷāyikāpi	velāsikāpi
mūlaghacchaṃ	mūlaghaccaṃ
mutoli	putoḷi
paccuṭṭhassanti	paccuṭṭhissanti
padosiyimhā	padūsimhā
pāmuñjasā	samojasā
parihiṃsatthāya	barihisatthāya
pitantaraṃso	citantaraṃso
sakappo	ekatiṃse kappe
sampajjasā	samojasā
saṃsabbati	saṃsappati
sanantica	sanantanaṃ
sāravanaṃ	saravanaṃ
siṅghasotāya	sīghasotāya
sīsapāvane	siṃsapāvane
suppaṭṭitaṃ	subbaṭṭitaṃ
tarojigucchaṃsārodā	tapojigucchāvādā
thorakāni	dhorakāni
uhacca	ūhacca
upasantapatiso	upasantapadisso
uruddā	urundā
uttamapamukkhatāya	uttamappamukhatāya
uttamasukhatāya	uttamappamukhatāya
vedhamissakena	veṭhamissakena
veghamissakena	veṭhamissakena
vekhamissakena	veṭhamissakena
vigāyāma	viyāyāma
visācitaṃ	visāci
visāvi	visāci
vissukammante	visukammante
vissutakammante	visukammante
vitāyāma	viyāyāma
vivekajapītisukhasukhuma	vivekajapītisukhasukhumasaccasaññā
viyāyamāma	byāyāma
abbhūṇheyya	abbuheyya
abbhūṇhanahetu	abbuhanahetu
abbhūṇhi	abbuhi
aviciṇṇaṃ	adhiciṇṇaṃ
bhāsitaparikantaṃ	bhāsitaparikkantaṃ
chaddeyya	chaḍḍeyya
evamādi	evaṃmānī
atthasamānaṃ	atathaṃ samānaṃ
vaṇassāropīti	vaṇasāropīti
āsiviso	āsīviso
gaṇakamoggalāno	gaṇakamoggallāno
issatte	issatthe
appaṭibandho	appaṭibaddho
virāgutaṃ	virāgunaṃ
kiñcakkhahetu	āmisakiñcikkhahetu
vayabhiññā	vassabhaññā
vikkhitāni	vikkhittāni
piṭṭhikaṇḍakaṃ	
ubhantarapaṭodo	odhastapatodo
acchira	acchidaṃ
asammusā	asammuccā
bhitāro	nijigīṃsitāro
dukkhudayaṃ	dukkhudrayaṃ
dukkhundrayaṃ	dukkhudrayaṃ
nicchādeyya	nipphoṭeyya
niccoṭeyya	nipphoṭeyya
ophāresi	upphālesi
palikuṇṭhitvā	palikujjitvā
paṇḍumudikassa	paṇḍupuṭakassa
khārāpaṭicchakampi	khārāpatacchikampi
palālapiṭṭhakampi	palālapīṭhakampi
addhubandhaṃ	adhibandhaṃ
balisamaṃsikampi	baḷisamaṃsikampi
ogahetvā	ogāhitvā
soḷasaṅgulakaṇḍakaṃ	soḷasaṅgulakaṇṭakaṃ
yogācariyānaṃ	yoggācariyānaṃ
kumbhakāranivesane	kumbhakārāvesane
ūrūndaṃ	urundaṃ
urūddhaṃ	urundaṃ
tiṇasantharikaṃ	tiṇasanthārakaṃ
ājānāmā	ājānāmātissa
vilimaṃ	vilimaṃsaṃ
īsakaphaṇe	īsakaṃpoṇe
divasasantette	divasaṃsantatte
paṭipāpeti	paṭivāpeti
sammusā	sammuccā
saṃpuṭīto	saṃphuṭito
sannahi	sannayhi
sapuṭā	pavuṭā
sobhanagarakaṃ	sobhanakaṃ
sobhanagharakaṃ	sobhanakaṃ
ubbayena	abbhayena
uhananti	ūhananti
upaccumbheyya	upasumbheyya
vaṇḍapaṭibaddhāni	vaṇṭapaṭibandhāni
dveḷhakajātā	dvedhikajātā
uppaṭṭethāti	ubbaṭṭethāti
